String ID,Dev Notes / Context,Character Limit,Text
New Game,Main Menu,15,Nouvelle partie
Resume Game,Main Menu,15,Reprendre
Load Game,Main Menu,15,Charger une partie
Settings,Main Menu,15,Paramètres
Tutorial,Main Menu,15,Tutoriel
Patch Notes,Main Menu,15,Notes de patch
Credits,Main Menu,15,Crédits
Difficulty Settings,Difficulty Menu,24,Paramètres de difficulté
Presents,Difficulty Menu,32,Préréglages
Trading,Difficulty Menu,32,Commerce
Loot,Difficulty Menu,32,Butin
Progression,Difficulty Menu,32,Progression
Enemies,Difficulty Menu,32,Ennemis
Hardcore,Difficulty Menu,32,Hardcore
Rookie,Difficulty Menu,32,Recrue
Survivor,Difficulty Menu,32,Survivant
Hunter,Difficulty Menu,32,Chasseur
Sell Multiplier,Difficulty Menu,32,Multiplicateur de vente
Items Amount,Difficulty Menu,32,Quantité d’objets
Amount Of Single Item,Difficulty Menu,32,Qté par objet
Minimum Weapons Durability,Difficulty Menu,32,Durabilité min. armes
Maximum Weapons Durability,Difficulty Menu,32,Durabilité max. armes
NPCs Drop Armor,Difficulty Menu,32,Les PNJ lâchent des armures
NPC Ammo Amount,Difficulty Menu,32,Munition des PNJ
Character Health,Difficulty Menu,32,Santé du personnage
Minimum Transportable Weight,Difficulty Menu,32,Poids mini transportable
Hunger/Thirst Decay Rate,Difficulty Menu,32,Perte faim/soif
Reputation Multiplier,Difficulty Menu,32,Multiplicateur de réputation
Skill Experience Multiplier,Difficulty Menu,32,Mult. d’XP de compétence
Reputation From Quests,Difficulty Menu,32,Réputation des quêtes
Roubles From Quests,Difficulty Menu,32,Roubles des quêtes
Items From Quests,Difficulty Menu,32,Objets des quêtes
Service Price,Difficulty Menu,32,Prix du service
Human Health,Difficulty Menu,32,Santé humaine
Human Damage Dealt,"Difficulty Menu, damage dealt to humans",32,Dégâts aux humains
Mutant Health,Difficulty Menu,32,Santé des mutants
Mutant Damage Dealt,"Difficulty Menu, damage dealt to mutants",32,Dégâts aux mutants
Lose Equipment,Difficulty Menu,32,Perdre l’équipement
Lose Ammo,Difficulty Menu,32,Perdre les munitions
Lose Medication,Difficulty Menu,32,Perdre les soins
