String ID,Dev Notes / Context,Character Limit,Text,
New Game,Main Menu,15,Nouvelle partie,
Resume Game,Main Menu,15,Reprendre,
Load Game,Main Menu,15,Charger,
Settings,Main Menu,15,Options,
Tutorial,Main Menu,15,Tutoriel,
Patch Notes,Main Menu,15,Notes de mise à jour,
Credits,Main Menu,15,Crédits,
Difficulty,Difficulty Menu,24,Difficulté,
Presents,Difficulty Menu,32,Présents,
Trading,Difficulty Menu,32,Commerce,
Loot,Difficulty Menu,32,Butin,
Progression,Difficulty Menu,32,Progression,
Enemies,Difficulty Menu,32,Ennemis,
Hardcore,Difficulty Menu,32,Hardcore,
Rookie,Difficulty Menu,32,Débutant,
Survivor,Difficulty Menu,32,Survivant,
Hunter,Difficulty Menu,32,Chasseur,
Sell Multiplier,Difficulty Menu,32,Multiplicateur de vente,
Items Amount,Difficulty Menu,32,Quantité d'objets,
Amount Of Single Item,Difficulty Menu,32,Quantité d'un objet unique,
Minimum Weapons Durability,Difficulty Menu,32,Durabilité min. des armes,
Maximum Weapons Durability,Difficulty Menu,32,Durabilité max. des armes,
NPCs Drop Armor,Difficulty Menu,32,PNJ lâchent armure,
NPC Ammo Amount,Difficulty Menu,32,Munitions des PNJ,
Character Health,Difficulty Menu,32,Santé du personnage,
Minimum Transportable Weight,Difficulty Menu,32,Poids transportable min.,
Hunger/Thirst Decay Rate,Difficulty Menu,32,Vitesse de faim/soif,
Reputation Multiplier,Difficulty Menu,32,Multiplicateur de réputation,
Skill Experience Multiplier,Difficulty Menu,32,Multiplicateur d'XP compétences,
Reputation From Quests,Difficulty Menu,32,Réputation des quêtes,
Roubles From Quests,Difficulty Menu,32,Roubles des quêtes,
Items From Quests,Difficulty Menu,32,Objets des quêtes,
Service Price,Difficulty Menu,32,Prix des services,
Human Health,Difficulty Menu,32,Santé humaine,
Human Damage Dealt,"Difficulty Menu, damage dealt to humans",32,Dégâts infligés aux humains,
Mutant Health,Difficulty Menu,32,Santé des mutants,
Mutant Damage Dealt,"Difficulty Menu, damage dealt to mutants",32,Dégâts infligés aux mutants,
Lose Equipment,Difficulty Menu,32,Perte d'équipement,
